,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Elizabeth City,US,36.29,-76.25,62.6,72,20,5.82,few clouds
1,Novo Oriente,BR,-5.53,-40.77,82.27,47,59,3.13,broken clouds
2,Timmins,CA,48.47,-81.33,32.0,98,75,2.24,broken clouds
3,New Norfolk,AU,-42.78,147.06,64.0,53,79,1.99,broken clouds
4,Punta Arenas,CL,-53.15,-70.92,50.0,53,40,26.4,scattered clouds
5,Yellowknife,CA,62.46,-114.35,10.4,78,75,9.17,light snow
6,Lavrentiya,RU,65.58,-171.0,30.78,97,100,1.57,overcast clouds
7,Nikolskoye,RU,59.7,30.79,32.0,94,90,6.71,light shower snow
8,Menongue,AO,-14.66,17.69,65.14,86,84,2.44,broken clouds
9,Lebu,CL,-37.62,-73.65,54.48,66,3,17.36,clear sky
10,Ginir,ET,7.13,40.7,57.6,92,14,3.27,light rain
11,Siparia,TT,10.13,-61.5,79.0,83,75,8.05,shower rain
12,Ushuaia,AR,-54.8,-68.3,44.6,81,40,4.7,scattered clouds
13,Puerto Ayora,EC,-0.74,-90.35,70.84,84,85,11.16,overcast clouds
14,Torbay,CA,47.67,-52.73,26.01,62,75,9.17,broken clouds
15,Khowst,AF,33.38,69.88,38.98,73,5,3.0,clear sky
16,Molina,CL,-35.12,-71.28,77.0,31,0,14.99,clear sky
17,Iqaluit,CA,63.75,-68.51,-0.4,77,75,14.99,broken clouds
18,Ribeira Grande,PT,38.52,-28.7,57.6,62,15,12.17,few clouds
19,Aswan,EG,24.09,32.91,62.47,55,0,8.75,clear sky
20,Atuona,PF,-9.8,-139.03,78.12,75,54,17.74,broken clouds
21,Clyde River,CA,70.47,-68.59,5.0,84,75,17.22,broken clouds
22,Hermanus,ZA,-34.42,19.23,58.06,71,26,8.01,scattered clouds
23,Qaanaaq,GL,77.48,-69.36,-3.62,85,30,2.91,scattered clouds
24,Avarua,CK,-21.21,-159.78,78.8,61,82,8.05,broken clouds
25,Cabo San Lucas,MX,22.89,-109.91,82.4,51,20,8.05,few clouds
26,Antalaha,MG,-14.9,50.28,71.8,88,77,6.62,broken clouds
27,Praia,CV,14.92,-23.51,78.8,74,75,16.11,haze
