City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Novo Oriente,BR,82.27,broken clouds,-5.53,-40.77,Pousada e Restaurante Sol Nascente
11,Siparia,TT,79.0,shower rain,10.13,-61.5,Brook Gardens
16,Molina,CL,77.0,clear sky,-35.12,-71.28,Hostal Pucará
20,Atuona,PF,78.12,broken clouds,-9.8,-139.03,Villa Enata
24,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
25,Cabo San Lucas,MX,82.4,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
27,Praia,CV,78.8,haze,14.92,-23.51,LT Aparthotel
34,San Blas,MX,86.0,clear sky,21.52,-105.27,Hotel Posada del Rey
36,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
37,Tual,ID,84.38,broken clouds,-5.67,132.75,Grand Vilia Hotel
41,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
45,Kavieng,PG,83.23,moderate rain,-2.57,150.8,Nusa Island Retreat
47,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.08,Scoop Guest House
50,Kapaa,US,77.0,heavy intensity rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
52,Am Timan,TD,75.9,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
54,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,
57,Isangel,VU,82.02,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
60,Daru,PG,82.2,overcast clouds,-9.08,143.21,New century hotel
68,Floriano,BR,79.7,scattered clouds,-6.77,-43.02,Hotel Maktub
78,Wattegama,LK,75.2,few clouds,6.8,81.48,
79,Butaritari,KI,81.14,broken clouds,3.07,172.79,Isles Sunset Lodge
81,Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
82,Coffs Harbour,AU,77.0,clear sky,-30.3,153.13,Aquajet Motel
85,Malakal,SS,78.19,clear sky,9.53,31.66,Nile Palace Hotel
90,Jacqueville,CI,82.4,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
93,Waw,SS,78.89,broken clouds,7.7,28.0,
94,Port Augusta,AU,87.01,clear sky,-32.5,137.77,Majestic Oasis Apartments
96,Santa Rosa,PH,78.8,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
99,Adelaide,AU,75.99,few clouds,-34.93,138.6,The Chancellor on Currie
101,Gizo,SB,83.43,overcast clouds,-8.1,156.84,Imagination Island
102,Grand Gaube,MU,75.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
106,Paracuru,BR,81.0,overcast clouds,-3.41,-39.03,Hotel Vento Brasil
107,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
108,Altamira,BR,77.99,overcast clouds,-3.2,-52.21,Requinte Hotel
114,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
121,Alice Springs,AU,86.0,few clouds,-23.7,133.88,Desert Palms Alice Springs
126,Siquijor,PH,80.6,broken clouds,9.21,123.52,Cecilia's Guesthouse
127,Cidreira,BR,76.39,light rain,-30.18,-50.21,Hotel Castelo
131,Kununurra,AU,84.2,few clouds,-15.77,128.73,Hotel Kununurra
135,Monrovia,LR,77.0,thunderstorm,6.3,-10.8,Eco-Hotel Hall & Restaurant
140,Acarau,BR,80.29,overcast clouds,-2.89,-40.12,castelo pizzaria
143,Russell,US,75.2,overcast clouds,32.35,-85.2,Macs
148,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
149,Galle,LK,78.89,overcast clouds,6.04,80.22,Amangalla
151,Ranong,TH,76.48,light rain,9.97,98.63,Tinidee Hotel@Ranong
155,Saint-Philippe,RE,75.2,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
160,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
167,Cockburn Town,TC,78.91,clear sky,21.46,-71.14,Osprey Beach Hotel
168,Port Macquarie,AU,80.01,clear sky,-31.43,152.92,Rydges Port Macquarie
171,Aitape,PG,80.56,broken clouds,-3.14,142.35,
175,Chimore,BO,86.5,overcast clouds,-16.98,-65.13,Bichito
185,Mar Del Plata,AR,78.8,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
195,Padang,ID,76.57,overcast clouds,-0.95,100.35,Mercure Padang
198,Bubaque,GW,83.95,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
202,Gouyave,GD,78.8,broken clouds,12.16,-61.73,Rumboat Retreat
203,Barbacoas,CO,76.35,light rain,1.67,-78.14,Hotel Terminal Plaza
204,Waingapu,ID,82.11,overcast clouds,-9.66,120.26,Pondok Wisata Elim
206,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
208,Sinnamary,GF,78.28,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
209,Frontera,MX,75.22,clear sky,26.93,-101.45,Fiesta Inn Monclova
211,Mayumba,GA,76.89,overcast clouds,-3.43,10.66,LIKWALE LODGE
213,Santa Isabel Do Rio Negro,BR,75.79,overcast clouds,-0.41,-65.02,Hotel GSA
218,Ixtapa,MX,82.4,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
221,Caravelas,BR,75.02,clear sky,-17.71,-39.25,Pousada dos Navegantes
223,Kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
226,Lorengau,PG,84.0,light rain,-2.02,147.27,Lorengau Harbourside Hotel
229,Murbad,IN,77.0,haze,19.25,73.4,OYO 62747 Hotel Sarika
234,Buchanan,LR,77.0,thunderstorm,5.88,-10.05,Kamaneahn Hotel Inc
237,Boa Vista,BR,77.0,overcast clouds,2.82,-60.67,Aipana Plaza Hotel
248,Dingle,PH,76.71,overcast clouds,11.0,122.67,SEGAYA PROPERTY
250,Malindi,KE,79.14,few clouds,-3.22,40.12,African House Resort
